name,desc,devfolioLink,githubLinks,longDesc,special_mention,stacksUsed,result,label
FixYourSelf,Never bend your head. Always hold it high. Look the world straight in the eye.,https://devfolio.co/submissions/fixyourself-cb83,"[""https://github.com/VedantJolly2808/KJSCE""]","The problem FixYourSelf solves\nThe web-based application helps users by detecting them, correcting their posture by alerting them with a sound when they are slouching, leaning, or tilting their head down, as well as a printed message for correcting their posture. A dashboard tracking the user activity helps give insight into the irregular postures adapted by the user in that particular session. Features that enable user security have been implemented like login from google via OAuth2 along with an SMTP server that helps the user reset their account details and give suggestions for improving the model.", ,"[""Flask"",""SQLite"",""Three.JS"",""HTML/CSS""]","{""Category"":""safety and wellbeing"",""average predictions"":0.274608}",safety and wellbeing
Covid Tracker,Track CORONA save YOURSELF.,https://devfolio.co/submissions/covid-tracker-093c,"[""https://github.com/Chiratna/covid_app2""]","The problem Covid Tracker solves\nThe lack of information regarding the upsurge of corona cases among the general public of India is alarming. It awares people with the number of cases and provides the information within just one click,.", ,"[""Flutter""]","{""Category"":""mental health"",""average predictions"":0.162029}",mental health
Trojan,The secret of getting ahead is getting started.,https://devfolio.co/submissions/trojan-b301,"[""https://github.com/aswinidev/Trojan""]","The problem Trojan solves\nInformative and interactive site for raising awareness in the society regarding health and fitness whose pupose is the empowerment and betterment of society.", ,"[""HTML"",""Vue.js"",""CSS"",""JavaScript""]","{""Category"":""mental health"",""average predictions"":0.202}",mental health
EaseMyBill,Ease your bills without spending a cent.,https://devfolio.co/submissions/easemybill-60f8,"[""https://github.com/Sparsh1101/EaseMyBill.git""]","The problem EaseMyBill solves\nAt present, small scale service providers and local vendors face difficulties in maintaining an invoice history, generating bills and keeping track of the inventory.\nHiring employees for the above mentioned tasks leads to additional costs which is not affordable by most of the small-scale services.\nIn today’s age of digitalization, where E-commerce is gaining popularity exponentially, a shift to an online platform will prove to be extremely beneficial for local vendors as it would help them compete with the existing market.\nWe have attempted to make a website that performs the following tasks:\nAdd/deletes/edits products and keeps a track of stocks in the inventory-This will help the shopkeeper to keep a track of the inventory easily and cut on labour cost.\nGenerates bills,sends pdfs and mail notifications of the bills to the customer.-This will help dematerialise the system and ensure hassle-free bills.\nMaintains a log of bills-This will help the user monitor his business activities, increase profit margins and keep a track of payments.", ,"[""Bootstrap"",""JavaScript"",""MongoDB"",""mongoose"",""Nodejs"",""ejs"",""""]","{""Category"":""miscellaneous "",""average predictions"":0.230208}",miscellaneous 
Self-Stabilizing Spoon with Remote Monitoring,The stabilizing spoon compensates for unintended tremors or shivers and keeps the spoon bowl stable. The application displays sensor data graphically to the doctor for remote monitoring.,https://devfolio.co/submissions/selfstabilizing-spoon-with-remote-monitoring-f2a4,"[""https://github.com/AryanG100/Team-Chiral-Ingenium-21"",""https://drive.google.com/drive/folders/1C7lJJSVqfYoEVlXXE_w2JAb4W04WehM_?usp=sharing""]","The problem Self-Stabilizing Spoon with Remote Monitoring solves\nParkinson’s disease is a neurological degenerative disease that results in irrepressible shivers in the limbs. Due to unintended tremors in their arms, patients are unable to perform everyday menial tasks like eating food out of a bowl with a spoon.\nThe stabilizing spoon compensates for unintended tremors or shivers received from the user and calibrates its head against these forces, thus keeping the spoon bowl stable at all times. This spoon can move as quickly as 500°/second, hence effectively steadying the spoon and easing the eating process of patients.\nAnother part of the holistic product is a mobile application for a designated doctor to monitor the patient’s progress.\nDuring this pandemic, people have been terrified of entering hospitals for non-COVID diseases and ailments, and we aim to create and market a product to help people adjust better to this new norm.\nWe have developed an application that analyses data collected from the spoon via sensors and statistically displays it to the designated doctor. By using this application, a doctor can not only monitor your progress but also offer diagnosis and treatment remotely, without the patient needing to leave their home.\nWith this project, the absolute aim is to make a product that can make a patient’s life easier.\nThe product will not only make it easy for the user to eat food out of a plate/bowl but also help their recovery by enabling inexpensive and thorough communication with a designated doctor.\nIn an age where people are petrified of the thought of entering the premises of a hospital, we are trying to use all the technical experience we have to create an experience that avoids as much physical contact as possible.\nIn the case of neuro diseases associated with nerves and muscles, it is imperative for the doctor to check up on the patient’s movements regularly, but we have attempted to find a way for doing that without requiring the patient to ever enter a hospital.", ,"[""Firebase"",""Java"",""Internet of Things (IoT)"",""NodeMCU"",""Kotlin"",""Arduino"",""Android NDK"",""Sensors""]","{""Category"":""health and wellness"",""average predictions"":0.770096}",health and wellness
NiftyDiscord Member,"NiftyDiscordMember is a platform where one can tokenize roles, channels of one's Discord servers. Buyers can buy NFT and access the creator's private channels by starting superfluid stream using NFT.",https://devfolio.co/submissions/niftydiscord-member-6041,"[""https://github.com/prakashujjwal1010/NiftyDiscordMember"",""https://github.com/prakashujjwal1010/NiftyDiscordMemberBot""]","The problem NiftyDiscord Member solves\nThe problem NiftyDiscord Member solves is the creation of a sustainable business model that aligns creator and fans by combining discord and NFT. Discord is already a popular platform for content creators and everyfan wants to join the discord private channel of their favourite creators. Creators also wants to make money using discord. Nifty Discord Member allows creators to tokenize the Discord roles and sell the membership of their private members only channels. It allows NFT holder (who bought the NiftyDiscord NFT from their favourite marketplaces opensea etc) to activate the NFT by starting the superfluid stream to the NFT's creator and can become NiftyDiscord Member of his creator and can access private members only channels. We have a NiftyDiscord bot which will moderates users/members and will let them join private channels and will remove them if their NFTs got deactivated (superfluid stream stopped)\nNiftyDiscord Member = WebApp + Discord Bot :)", ,"[""Solidity"",""Infura"",""Ethereum"",""Nodejs"",""React.js"",""discord.js"",""Superfluid""]","{""Category"":""technology"",""average predictions"":0.298175}",technology
Pollify,Get an Honest Opinion.,https://devfolio.co/submissions/pollify-41e9,"[""https://github.com/kashish1211/Pollify""]","The problem Pollify solves\nwhenever in confusion, poll give you an honest opinion with majority.", ,"[""Bootstrap"",""Django"",""HTML/CSS""]","{""Category"":""safety and wellbeing"",""average predictions"":0.157797}",safety and wellbeing
Wirl-D,Man cannot discover new oceans unless he has the courage to lose sight of the shore. COME TRAVEL AND EXPLORE WITH US. Want to travel but don't know where to go. Wirl-D is a platform for you.,https://devfolio.co/submissions/wirld-dfab,"[""https://github.com/Quantum404/Hackathon.git""]","The problem Wirl-D solves\n-People nowadays don’t find a reason to go out,almost everything is on doorstep .\n-Or even the daily travellers hikers find a lack of sightseeing locations nearby.\n-This site gives them a reason to travel or to go to nearby place.\n-This makes decision making easier.", ,"[""HTML"",""CSS"",""JavaScript""]","{""Category"":""education"",""average predictions"":0.152368}",education
EasyDocs,"Student needs, simplified.",https://devfolio.co/submissions/easydocs-c918,"[""https://github.com/adityashukzy/Easy-Docs"",""https://share.streamlit.io/adityashukzy/easy-docs/main/st_app.py""]","The problem EasyDocs solves\nThe essence of EasyDocs is in the name: we want to simplify and make educative tools a no-nonsense aspect. From our minimalistic UI (crafted through Streamlit) and easy-to-use tools, efficiency with time and simplicity of use have been some of the most important motivating factors for EasyDocs.\nEducation is hard enough for so many of us. This is more so the case for students with learning disorders such as dyslexia and ADHD. Going through pages and pages of monotonous text can be especially laborious which was the motivation behind the summarization and PDF to audiobook modules.\nIn addition, we also added EzPz: a cute little chatbot to guide you about EasyDocs :)", ,"[""TensorFlow"",""Keras"",""Google Text to Speech"",""sumy"",""Pdfplumber"",""Streamlit"",""EasyOCR""]","{""Category"":""education"",""average predictions"":0.183232}",education
Medilab,One stop destination for all your medical needs,https://devfolio.co/submissions/medilab-a8bb,"[""https://muskaarora4446.github.io/Hack0-15-error404/""]","The problem Medilab solves\nWe have created a platform (an interface) between a doctor and a Patient To Digitalize all the Paperwork done by a hospital like our prescriptions written by the doctor , our test reports and medical history.\nAs You know before any major surgical processes our medical history is analyzed by the doctor which involves assessing bundles of reports and history with our platform we have made this process much easier by digitalizing it\nCASE 1: You don’t have to submit all your reports and do the formalities again and again before any medical process you just have to share your username or aadhaar number or biometrics and your medical profile will be accessible accessible to the doctors with the help of our platform\nLets suppose that a person was injured in an accident and in unconscious state taken to the hospital with our interface , the hospital just has to scan his biometrics and all the viable and useful information like his medical insurance, emergency contact , medical history,Blood Group will be accessible in that time of need.", ,"[""PHP"",""HTML"",""CSS"",""JavaScript"",""SQL""]","{""Category"":""health and wellness"",""average predictions"":0.184922}",health and wellness
LEARNING GLOW-REVOLUTION WE NEEDED,The Revolutionized way of learning free of cost.,https://devfolio.co/submissions/learning-glowrevolution-we-needed-30d5,"[""https://abhi070902.github.io/Learning-Glow/"",""https://github.com/abhi070902/Learning-Glow""]","The problem LEARNING GLOW-REVOLUTION WE NEEDED solves\nWith the learning glow project we want to solve the problem that we faced during our preparation time that is the teacher was either to fast or slow we were not able to keep up with the pace of teacher.So in this project we are trying to solve this problem by giving every student module according to his need and without any cost.He just have to answer the question asked in google form related to his academics and after that we will take short test of him and will give module most suited for him for his desired competitive exam . We have made this platform not for any specific course u can opt for any course according to your need and we will provide quality module according to what u have selected.We did this as this is our small contribution towards promoting digital and quality education free of cost.We have tried to keep this website as simple as possible as we wanted students from every region should have access to it.We tried to do something which is missing in our education.We have also added chat system so that every student can ask any query related to website or academics.We will try to solve that doubt as quickly as possible.We also added a feedback form so that if someone can suggest anything for the betterment of our website they can suggest us and we will try to adapt to it and make this website better.There is also an app linked for it which can be downloaded simply if anyone wants to download the app. Existing system was lacking this thing so we thought this would help for students who are either too slow or too fast.", ,"[""Bootstrap"",""JavaScript"",""Java"",""Android Studio"",""Image-to-Image Translation"",""Google Forms"",""Google OAuth"",""CSS3"",""HTML5"",""Google Firebase""]","{""Category"":""technology"",""average predictions"":0.183733}",technology
ExamTantra,Gamify your exams,https://devfolio.co/submissions/examtantra-27f5,"[""https://github.com/shero4/Hacko-17-COD3ine"",""https://drive.google.com/file/d/1Va-TlFD3ab7K3gHOzlVY4Z-IFSk7lZKx/view?usp=sharing""]","The problem ExamTantra solves\nCompetitive exams are a cornerstone in almost every student’s life. There are two purposes for competitive exams; at school and college, they encourage students to study by rewarding those who demonstrate the will to learn with reputation, prizes, admissions to universities and scholarships. They're also used in the selection of military and civil service officers. This makes success in these exams very lucrative, attracting many students.\nHowever the archaic education system makes the preparation process very tedious, boring and unintuitive. This leads to burnout and a general disinterest towards academics. This system is also inefficient as it doesn’t have room for a dynamic system of preparation. Another issue that presented itself in the current, unprecedented times is that education has to evolve beyond brick and mortar institutions to function and thrive. The sudden rise in solutions implementing technology into education is no coincidence. As we are forced to look for alternatives to conventional learning methods, we have to find efficient and innovative methods so as to keep improving the quality of education.\nWe decided to create an innovative solution to help students prepare for their exams using ExamTantra. ExamTantra’s goal is to “Gamify” the mundane tasks of attempting exams by adding elements such as peer attempts: solving papers with peers resulting in a more productive practice environment, leaderboards to compare progress, a clean minimal UI so as to not distract the user, badges, awards and other reinforcements which have been proven to be psychological motivators. We believe that everyone must have the right to a fair education, thus, ExamTantra aims to make practicing more accessible to students by offering an ad free uninterrupted experience as well as being optimised to run on most devices.",1st Runner Up,"[""React"",""Firebase"",""JavaScript"",""Android Studio"",""Ionic"",""Redux"",""Firebase Authentication""]","{""Category"":""education"",""average predictions"":0.317513}",education
EDEZE,"Easing out exams, assignments and other classroom activities enchanced by google search. We are focusing on quality education goal.",https://devfolio.co/submissions/edeze-cf70,"[""https://github.com/YashashwiniDixit/EDEZE""]","The problem EDEZE solves\nIt is a platform wherein continuous assessments, final exams and even mock exams can be conducted using web proctored environment with automatic assessments for mock exams including descriptive long answers. It provides personalized feedback after each exam and progress analysis for a class and a student. This will also include google enhanced search.", ,"[""HTML"",""Bootstrap"",""Django"",""JavaScript"",""Python"",""CSS3"",""Remote SQL"",""Google Search Enhance""]","{""Category"":""education"",""average predictions"":0.206024}",education
Venrate,"Smart contract offers a standardized way of accessing reputation data that has been accumulated, where more verifications across platforms can reinforce the reliability of any one reputation score.",https://devfolio.co/submissions/venrate-867b,"[""https://github.com/auralshin/venrate/tree/master""]","The problem Venrate solves\nFor as long as influence can be bought or sold freely, there is little incentive for such vendors to maintain online reputation scores. With blockchain technology, however, there might be a way to change how online reputation is managed. Building a decentralized reputation as a smart contract offers a standardized way of accessing reputation data that has been accumulated, where more verifications across platforms can reinforce the reliability of any one reputation score.", ,"[""IPFS"",""WebSockets"",""Web3"",""Ethereum"",""VueX"",""VueJS"",""Ceramic Network""]","{""Category"":""education"",""average predictions"":0.181839}",education
EduAR,Learn the concepts with Augmented Reality,https://devfolio.co/submissions/eduar-50a1,"[""https://github.com/hiranmayee1123/EduAR""]","The problem EduAR solves\nEnabling students to visualize concepts through real-time models", ,"[""PHP"",""HTML"",""Bootstrap"",""CSS"",""JavaScript"",""echoAR""]","{""Category"":""miscellaneous "",""average predictions"":0.17}",miscellaneous 
She Shield,"Be Sure, Be Safe! Considering the safety and security of women in India in the recent times, We wanted to give a try from our end to address the issue in a simpler and safer way.",https://devfolio.co/submissions/she-shield-3afd,"[""https://github.com/nb9960/haxplore-2.0-submissions"",""https://drive.google.com/file/d/1K_SStw8GIY5sMxiKRCtOT1oEjvPWO8om/view?usp=sharing""]","The problem She Shield solves\nLooking at the recent trends and the most powerful weapon with humanity - technology, we planned to use the same to give access to women in serious or dangerous situations to address the issue in a fast and easier way to ensure their security.\nMain Features\nMap - To track the current location of the user, guiding for safe routes and crime-prone areas (user would be able to mark the area safe or can view the number of users that have marked the area as safe, currently we are using crimeometer API to check whether the area is safe or not rather than providing information based on other user input)\nVoice Assistant - executes features on voice commands (this will detect if the sentence consists of few keywords such as 'SOS SMS', 'SOS Call', 'Police', 'News' to redirect the user on the desired window)\nSOS - SOS call and SOS messages to user-provided contacts (Which will be stored in shared preferences)\nAdditional Features\nShake - Detects the frequency of shakes and after a certain frequency sends help message with user location to provided contacts\nCamera - To capture image (which can be shared from there itself) or and record video (which is automatically stored in gallery)\nPolice stations - Locates all the nearest police stations\nPolice siren - Rings the police siren\nTaxi - One-touch ola cab facility to books cabs for user\nNews - To guide the users about self-defense techniques which can be extended for providing other useful health emergency guidance.", ,"[""Flutter"",""Google Map API"",""Crimeometer API""]","{""Category"":""safety and wellbeing"",""average predictions"":0.690914}",safety and wellbeing
CloseBuy,An end-to-end hyperlocal platform to connect local entrepreneurs with customers within their location and equipping them with tools to bring their services online and find customers quickly and easily,https://devfolio.co/submissions/closebuy-3b39,"[""https://github.com/anubhab-code/Team-Phasors""]","The problem CloseBuy solves\nLocal entreprenuers lack exposure of their small businesses due to societal constraints.\nThese local entreprenuers find difficulty in acquiring initial customers and scaling their business.\nNormal consumers have to spend a lot of time looking for a good tailor for tight deadlines for an event or house helps , baby sitters or any other work , nearby.",Runner Up Prize,"[""Firebase"",""Flask"",""Flutter"",""Google Maps API"",""Matic"",""Geocoding"",""Blockchain"",""Firestore"",""Moibit"",""Tezos""]","{""Category"":""general wellfare"",""average predictions"":0.239425}",general wellfare
Wear OS Radio Flutter,The world’s first deployment of an idea based on network radio where we provide independent radio stations for a smartwatch running Wear OS.,https://devfolio.co/submissions/wear-os-radio-flutter-6fbb,"[""https://github.com/SatYu26/Wear-OS-Radio-Flutter"",""https://tinyurl.com/7jpybrxm"",""https://youtu.be/MIRwema678U"",""https://drive.google.com/file/d/1MxXe0p41cs4XzZ39r8CN7mGpXHTPVD-2/view?usp=sharing""]","The problem Wear OS Radio Flutter solves\nTo set an example of hybrid mobile development on a platform, as small as a smartwatch.\nOur main objective for this tech deployment is to create a customizable and accessible standalone internet radio access for all Wear OS users, making it independent of a 2nd party device like an Android Phone.\nTo display the flexibility & expanded features of using hybrid application development platforms such as Flutter SDK on platforms such as Android Auto, Wear OS, etc.", ,"[""REST API"",""Flutter"",""WatchOS""]","{""Category"":""miscellaneous "",""average predictions"":0.153535}",miscellaneous 
UNIFORMITY,Your mental health our concern,https://devfolio.co/submissions/uniformity-7492,"[""https://github.com/manekasingh05/uniformity.git""]","The problem UNIFORMITY solves\nIt basically resolves all your mental health issues by asking question and showing the solutions in the form of graphics.", ,"[""Bootstrap"",""JavaScript"",""CSS3"",""HTML5""]","{""Category"":""safety and wellbeing"",""average predictions"":0.153492}",safety and wellbeing
Pachisi,Make money being right.,https://devfolio.co/submissions/pachisi-e432,"[""https://github.com/mundhrakeshav/pachisi""]","The problem Pachisi solves\nInspiration\nSo we looked at various prediction markets in space and realised they weren't very user friendly and decentralised. So we thought to build a Market which is completely decentralised and is very easy to use.\nAlso we didn't wanted to have funds laying around in contract doing nothing so we used aave to make APY from the locked money.\nWhat it does\nUsers to be able to bet on various things like:\nAsset Prices\nCryptocurrencies\nStocks\nRandom Number Games\n7Up 7Down\nOdd Even\nCustom (Any Prediction started by users)\nNFT betting\nUsers can bet with Non fungible tokens.\nThey can place a 1 to 1 NFT bet\nWhere the NFTs will be locked in a contract and the winning person gets both NFTs.\n→ We have used Chainlink's Infra\nAlarm Clock\nPriceFeeds\nTingo EOD Equity price\nVRF\n→ We also use AAVE for generating APY from locked funds.\nIn future we plan to support 1 to multiple NFT bets and using NFT sharding we plan to support fractional NFT Betting", ,"[""AAVE"",""Ethereum"",""Chainlink""]","{""Category"":""science and research"",""average predictions"":0.434236}",science and research
Clean-Fit,Two of the major problems of our Indian society are cleanliness (rather the lack thereof) and the deteriorating health of our citizens. Clean Fit tries to solve both these problems.,https://devfolio.co/submissions/cleanfit-31bc,"[""https://github.com/Heisenberg-737/Hack-Clean-Fit""]","The problem Clean-Fit solves\nTwo of the major problems of our Indian society are cleanliness (rather the lack thereof) and the deteriorating health of our citizens. It’s time we accept that in the coming time, cleanliness and health are going to be the parameters for measuring the success of a “Smart City”. Thus we have developed a way so that the citizens of our country can not only exercise but do it in a fun way, and that too while cleaning up the city. The citizens will be provided with a dedicated path for them to cover during their jogging time, and this path will lead through some carefully deliberated parts of the town, where they can pick up trash while jogging. The incentive of cleaning their city alongside maintaining their health is complementary to the effort of building a strong and clean “Smart City”.In a way, it relieves the burden on the sanitation workers of the city, creates awareness about health, hygiene and cleanliness, and at last, helps people contribute to the well being of their city in a tangible way.", ,"[""React"",""Flask"",""Machine Learning"",""SQLite"",""Python"",""HTML/CSS"",""Scrapy""]","{""Category"":""mental health"",""average predictions"":0.37126}",mental health
Shifu by Celestial Biscuit,A revolutionising and user friendly technology to promote sustainable agriculture by detecting soil type and suggesting crops.,https://devfolio.co/submissions/shifu-by-celestial-biscuit-fc5e,"[""https://github.com/Nishtha0801/shiwu""]","The problem Shifu by Celestial Biscuit solves\nShiwu covers 3 Sustainable Development Goals:\n1. Zero Hunger: With the knowledge of the right crop for your soil, more crops can be produced thereby ending hunger. \n2. Responsible Consumption and Production: We detect the correct soil and suggest the best crops which can be grown thereby ensuring sustainable production patterns.\n3. Life on Land: When the right crop is being grown on the soil, the soil resources are utilised properly thereby preventing desertification and trying to halt it.\nTarget Audience:\n1. Farmers who wish to check which soil lies on their land and decide which crop should be grown on their land. \n2. Gardening enthusiasts who wish to start an in-house garden and decide which will be the best plant/crop to grow in the soil that is available around their place.\nFuture Scope: \n1. Allow users to register and save the types of soil they have on their different fields.\n2. A personalised dashboard for the user where they can see a list of the different fields they have, and the crop that they would grow there. \n3. Personalised articles related to farmer's soil and crops. \n4. A chatbot for easy navigation around the website and providing answers to farmers' crop and soil related queries. Google's Speech to Text API can come in handy for this scenario. \n5. To offer the farmers a more personalised experience, we are also planning to put Google's Translation API to use to convert the languages into the regional languages of the farmers.",Jury Award,"[""HTML"",""CSS"",""JavaScript"",""Flask"",""TensorFlow"",""Machine Learning"",""Figma"",""Adobe Photoshop"",""Adobe Illustrator"",""Keras CNN""]","{""Category"":""general wellfare"",""average predictions"":0.274831}",general wellfare
CONTAMINATED VIRUS PROTECTIVE SMART HAT,"Protective conscious hat alarm system for eyes, nose and mouth from contaminated hand.",https://devfolio.co/submissions/contaminated-virus-protective-smart-hat-76ae,"[""https://devpost.com/software/corona-protective-smart-hat?ref_content=user-portfolio&ref_feature=in_progress""]","The problem CONTAMINATED VIRUS PROTECTIVE SMART HAT solves\nThis hat reduce the chances of unconsciously touches of eyes, nose and mouth by our contaminated hand. In everyday 's life we touches our face many times. So a high chance is created for contaminated virus to enter human body. This hat protect and reduce our face touching probability by our contaminated hand. Whenever user hand come close to his/her face the hat alert the user by a buzzer sound.", ,"[""liPo battery"",""diode"",""electro magnetic field technology"",""Hall sensor"",""Neodymium disc magnet set ring"",""Transistor"",""Switch"",""Other electronics component""]","{""Category"":""general wellfare"",""average predictions"":0.204536}",general wellfare
Ahaar,Food for poor,https://devfolio.co/submissions/ahaar-0033,"[""https://github.com/DipraChaudhry/Ahaar_FoodForPoor-Digislayers-SheHacksDTU""]","The problem Ahaar solves\nFood Wastage is a major problem in India .A significant amount of food is thrown by restaurants and eateries every single day. It is estimated that 40% of the food produced in India is wasted every year. It is all the more shocking as a lot of people in our country do not even get two square meals a day.", ,"[""HTML"",""JavaScript"",""Express.js"",""Nodejs""]","{""Category"":""health and wellness"",""average predictions"":0.15425}",health and wellness
Shot of Hope,Easy Covid Vaccine Appointment Scheduler,https://devfolio.co/submissions/shot-of-hope-f0d8,"[""https://github.com/AbhilashaBansal/soh""]","The problem Shot of Hope solves\nPresently, we need a means to efficiently distribute the Covid 19 Vaccine. This application allows users to book an appointment online to get themselves vaccinated without hassles. It shows the various available hospitals, dates & slots to users.\nIt allows one user per slot, and hence would help to avoid overcrowding of people in hospitals.\nIt would allow people to get vaccinated hassle free.\nIt would allow hospitals to keep track of the appointments they have received and intoduce more slots for people to choose from.", ,"[""jQuery"",""Bootstrap"",""JavaScript"",""SQLite"",""HTML/CSS"",""Nodejs"",""HTML5""]","{""Category"":""health and wellness"",""average predictions"":0.213956}",health and wellness
Healthy Me,Buliding future healthy,https://devfolio.co/submissions/healthy-me-1d4b,"[""https://vaibhavgupta05.github.io/Healthy-Me/"",""https://github.com/Vaibhavgupta05/Healthy-Me""]","The problem Healthy Me solves\nProvides an all in one solution for all your medical needs", ,"[""jQuery"",""HTML"",""CSS"",""JavaScript""]","{""Category"":""technology"",""average predictions"":0.144182}",technology
DArt,A decentralized version-controlled canvas for you and your friends to build the next billion-dollar NFT art piece,https://devfolio.co/submissions/dart-2df1,"[""https://github.com/Decentralized-Art"",""https://github.com/Decentralized-Art/DArt-UI"",""https://github.com/Decentralized-Art/DArt-contracts"",""https://github.com/Decentralized-Art/DArt-stitchMe""]","The problem DArt solves\nBuilding the next billion-dollar NFT art masterpiece is often not a one man's job, so why not collaborate with your friends in building your art piece? However direct collaboration on the same canvas is not possible on the current paint softwares, and while you can always share the image with other collaborators asking for their individual contributions, version controlling the canvas becomes very difficult, specially if one of your teammates decides to doodle all over your hard work. \nEquipped with IPFS image hosting and Ceramic Network's decentralized version-control, DArt presents a decentralized GitHub for artwork.\nStep1:\nAdd wallet address of collaborators and allocate sections of canvas\nStep2:\nJoin your team with the hash shared by the owner\nStep3:\nDraw and Submit Pull Request!!!🎨🎨🎨🎨🎨\nStep4:\nOwner Approves and Merges Pull Request\nExample image\nStep5:\nCreate a MultiSig wallet for your team\nGenerate a secure unique MultiSig wallet address on Ethereum for you and your team for each art piece. Requires gas fees\n*\nStep6:\nSign and mint NFT\nCurrently DArt ERC-721 tokens for your Decentralized Art piece are available on Goerli and Matic Mumbai testnet. Own your art piece as a NFT!", ,"[""IPFS"",""React"",""MetaMask"",""Matic"",""Web3"",""Material-UI"",""Remix (IDE)"",""Ceramic Network""]","{""Category"":""science and research"",""average predictions"":0.313049}",science and research
SheWalksSafe - A Women Safety Application,"A women safety app that helps women in emergency or dangerous situations or whenever they feel unsafe. Some of the features like Maps, SOS, Voice command, Camera or video, Tips are provided for safety",https://devfolio.co/submissions/shewalkssafe-a-women-safety-application-fa1a,"[""https://drive.google.com/file/d/17fRASw9RWwINYEMx3camfOYouEEYDhqE/view?usp=sharing"",""https://github.com/rakulvm/SheWalksSafe""]","The problem SheWalksSafe - A Women Safety Application solves\nAs women safety has became a huge concern nowadays, the insecurity for the women in rural areas increases day by day. Issues like theft, bullying, sexual injustice increases. So, we have planned use the same to give access to women in serious or dangerous situations to address the issue in a fast and easier way to ensure their security and built an app that could atleast control some of these. We have created an app with some special features like SOS, Voice command, Maps, shake for emergency, camera, police stations, taxi, tips for safety to ensure their safety as much as possible from our side.\nFeatures of our app:-\n⭐ SOS - SOS call and SOS messages to user-provided contacts (Which will be stored in shared preferences).\n⭐ Map - To track the current location of the user, guiding for safe routes and crime-prone areas (user would be able to mark the area safe or can view the number of users that have marked the area as safe, currently we are using crimeometer API to check whether the area is safe or not rather than providing information based on other user input).\n⭐ Voice Assistant - executes features on voice commands (this will detect if the sentence consists of few keywords such as 'SOS SMS', to redirect the user on the essential window).\n⭐ Shake - Detects the frequency of shakes and after a certain frequency sends help message with user location to provided contacts.\n⭐ Camera - To capture image (which can be shared from there itself) or and record video (which is automatically stored in gallery).\n⭐ Police stations - Locates all the nearest police stations.\n⭐ Police siren - Plays the police siren just to divert the people who bully.\n⭐ Taxi - One-touch ola cab facility to books cabs for user.\n⭐ News - To guide the users about self-defense techniques which we have planned to extend for providing other useful health emergency guidance.",10th,"[""Flutter"",""Google Maps API"",""Crimeometer API""]","{""Category"":""safety and wellbeing"",""average predictions"":0.743723}",safety and wellbeing
Next Gen e-Classroom,Tagline : Standalone web/mobile application alternative for managing all Classrooms.,https://devfolio.co/submissions/next-gen-eclassroom-9406,"[""https://github.com/RaajeevChandran/Hack-A-Nova-Project""]","The problem Next Gen e-Classroom solves\nThe problem it solves : Our application lets the teachers and students communicate in a streamlined way under a single platform rather than opting for different websites to manage their classwork.\nOur key features include:\nFor Teachers:\n1. Teachers can create classrooms which will then let them create Quiz,Assignments and Coding Assignments.\n2. Coding Assignments are enabled to be graded based on the test-cases given by the teacher.\n3. Statistics about the student's grades.\n4. Interaction with students in inbuilt chat for each classroom\nFor Students:\n1. Easy interaction with teachers.\n2. Can submit code assignments through builit-in code compiler.\n3. Easy interaction with teachers with inbuilt chat.\n4. Scan assignments in PDF format using built in PDF scanner", ,"[""Firebase"",""JavaScript"",""Dart"",""Flutter""]","{""Category"":""education"",""average predictions"":0.296746}",education
FoodPal,Help us Help You,https://devfolio.co/submissions/accisafe-0542,"[""https://github.com/FoodPal-CRCE/foodpalclient""]","The problem FoodPal solves\nIn the post corona world, it would be more beneficial to the public to have least amount of contact and interaction, specially in public places. \nRestaurants being one of the major places where people tend to come in contact very often, maintaining social distance with the staff could be a major challenge. \nSo as to minimize the contact we propose a user friendly portable software which can provide a descriptive interface to place orders with ease.", ,"[""MERN stack""]","{""Category"":""mental health"",""average predictions"":0.159326}",mental health
MediPoint - Care Yourself,Medipoint is an application which optimizes medical healthcare services and improvises patient's health care journey. It caters to the health care needs of the people by providing At-Home Service.,https://devfolio.co/submissions/medipoint-care-yourself-6528,"[""https://github.com/clue1ess/IngenuimHackathon.git""]","The problem MediPoint - Care Yourself solves\nWe have been witnessing the wrath of the COVID-19 Pandemic for a year now. While this fatal airborne disease continues to spread around the globe, it has put health care facilities under immense pressure. In most of the regions, hospitals are outnumbered by the increase in number of patients. Patients with normal cough, cold or some trivial infection are not being attended without a negative report, even though the patient doesn’t show all symptoms of COVID-19. Through this platform, we aim to minimize the communication gap between the patient and the health care service providers by developing an online interface that can improve accessibility, quality of treatment, avoid physical contact with any other person and reduce the long waiting hours. \nImapcts on Stakeholders:\n1. Saves Time - Visting hospital for booking appointment is very time consuming and can be hectic now-a-days. MediAppoint can be your saviour.\n2. Book anything from anywhere - Users are not limited to any specific working times of hospital for booking,they can book the appointment round the clock at anytime from anywhere.\n3. Save Resources - MediAPoint is an automated appointment system as it removes the expensive of going hospital for manual booking\n4. Minimize communication gap between Doctors and Patients - Patients can themselves get the info about the diseases using MediPoint app.\n5. First Aid treatment - User can get home remedies for the diseases which can act as first aid or additional help in treatment of diseases.\n6. ML prediction of diseases using symptoms - Helpful for users who are unsure about the disease", ,"[""scikit-learn"",""Python"",""Express.js"",""React Native"",""MongoDB"",""Nodejs""]","{""Category"":""health and wellness"",""average predictions"":0.327592}",health and wellness
